DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_ERROR_TEST / Id Order State: 24",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: error - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_CANCELLED / Id Order State: 6",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: cancelled - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_CANCELLED_TEST / Id Order State: 25",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: cancelled - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_AUTH / Id Order State: 27",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: pending - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_AUTH_TEST / Id Order State: 26",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: pending - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_EXP / Id Order State: 29",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: expired - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_EXP_TEST / Id Order State: 28",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: expired - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_ONEY_PG / Id Order State: 31",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: pending - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_ONEY_PG_TEST / Id Order State: 30",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: pending - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Install successful.",285,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
